,subject,congruency,rt,acc,task
520,10,incongruent,0.5682981579999999,1,flanker
521,10,congruent,0.484878784,1,flanker
522,10,congruent,0.48486817200000004,1,flanker
523,10,congruent,0.401445213,1,flanker
524,10,incongruent,0.45122668099999996,1,flanker
525,10,congruent,0.46812005799999995,1,flanker
526,10,congruent,0.367961498,1,flanker
527,10,congruent,0.33463835999999997,1,flanker
528,10,congruent,0.418053077,1,flanker
529,10,incongruent,0.368051026,0,flanker
530,10,congruent,0.40140154899999997,1,flanker
531,10,incongruent,0.367966709,0,flanker
532,10,congruent,0.5015128680000001,1,flanker
533,10,congruent,0.43478963299999995,1,flanker
534,10,incongruent,0.434827023,1,flanker
535,10,congruent,0.5682567199999999,0,flanker
536,10,incongruent,0.384764976,1,flanker
537,10,congruent,0.418065835,1,flanker
538,10,incongruent,0.43475622199999997,1,flanker
539,10,incongruent,0.518217634,1,flanker
540,10,incongruent,0.434806916,1,flanker
541,10,incongruent,0.384705414,1,flanker
542,10,incongruent,0.468166231,1,flanker
543,10,congruent,0.434764611,1,flanker
544,10,congruent,0.518219628,1,flanker
545,10,incongruent,0.6015759319999999,1,flanker
546,10,congruent,0.434755884,1,flanker
547,10,congruent,0.518238628,1,flanker
548,10,congruent,0.351288306,1,flanker
549,10,congruent,0.534781189,1,flanker
550,10,congruent,0.334596787,1,flanker
551,10,congruent,0.384752441,1,flanker
552,10,incongruent,0.434810341,1,flanker
553,10,incongruent,0.36793723,1,flanker
554,10,congruent,0.33467831000000003,1,flanker
555,10,incongruent,0.368129877,1,flanker
556,10,congruent,0.301270449,1,flanker
557,10,incongruent,0.45144264900000003,1,flanker
558,10,congruent,0.334606539,1,flanker
559,10,incongruent,0.434832968,1,flanker
560,10,incongruent,0.418146515,1,flanker
561,10,congruent,0.33475794200000003,1,flanker
562,10,incongruent,0.351319708,0,flanker
563,10,incongruent,0.40149338999999995,1,flanker
564,10,incongruent,0.48485602,1,flanker
565,10,incongruent,0.368088126,1,flanker
566,10,incongruent,0.40114501,1,flanker
567,10,congruent,0.368002331,1,flanker
568,10,congruent,0.40145952999999995,1,flanker
569,10,congruent,0.36796725300000005,1,flanker
570,10,incongruent,0.401344438,1,flanker
571,10,congruent,0.384676366,1,flanker
572,10,congruent,0.401415731,1,flanker
573,10,congruent,0.334612957,1,flanker
574,10,congruent,0.40140664,1,flanker
575,10,incongruent,0.418068239,1,flanker
576,10,incongruent,0.568143582,1,flanker
577,10,incongruent,0.40132790999999995,1,flanker
578,10,incongruent,0.36807539100000003,1,flanker
579,10,incongruent,0.484776882,1,flanker
580,10,incongruent,0.301240564,0,flanker
581,10,incongruent,0.418070824,1,flanker
582,10,incongruent,0.401330562,1,flanker
583,10,congruent,0.351351225,1,flanker
584,10,incongruent,0.351380135,1,flanker
585,10,incongruent,0.40136373,1,flanker
586,10,congruent,0.401355456,1,flanker
587,10,congruent,0.434847493,1,flanker
588,10,congruent,0.334666756,1,flanker
589,10,incongruent,0.685087227,1,flanker
590,10,incongruent,0.451392316,1,flanker
591,10,congruent,0.384414201,1,flanker
592,10,congruent,0.434693622,1,flanker
593,10,congruent,0.351356,1,flanker
594,10,incongruent,0.501515842,1,flanker
595,10,congruent,0.367973363,1,flanker
596,10,congruent,0.368034212,1,flanker
597,10,congruent,0.368040415,1,flanker
598,10,congruent,0.4013653,1,flanker
599,10,incongruent,0.41800282,1,flanker
600,10,incongruent,0.36802303599999997,1,flanker
601,10,congruent,0.418108115,1,flanker
602,10,incongruent,0.534791381,1,flanker
603,10,congruent,0.38467608799999997,1,flanker
604,10,congruent,0.36798031,1,flanker
605,10,incongruent,0.367994267,0,flanker
606,10,congruent,0.401525513,1,flanker
607,10,congruent,0.36800268599999997,1,flanker
608,10,incongruent,0.384776075,1,flanker
609,10,incongruent,0.518244619,1,flanker
610,10,congruent,0.401467732,1,flanker
611,10,incongruent,0.468157018,1,flanker
612,10,congruent,0.35136433699999997,1,flanker
613,10,incongruent,0.30126986,1,flanker
614,10,congruent,0.334633279,1,flanker
615,10,congruent,0.317959965,1,flanker
616,10,incongruent,0.41807948,0,flanker
617,10,incongruent,0.384752457,1,flanker
618,10,congruent,0.418163056,1,flanker
619,10,congruent,0.368067138,1,flanker
620,10,incongruent,0.334636798,1,flanker
621,10,congruent,0.368091447,1,flanker
622,10,congruent,0.351312479,1,flanker
623,10,incongruent,0.5349269090000001,1,flanker
624,10,incongruent,0.45143889200000004,1,flanker
